model_name,epochs,learning_rate,train_batch_size,accuracy,precision,recall,f1_score,distance_1,distance_2,distance_3,distance_4,off-by-1-accuracy,off-by-2-accuracy,off-by-3-accuracy
google/bert_uncased_L-2_H-128_A-2-yelp-CE-1,34,0.0001,1024,0.6251,0.6393,0.6251,0.6304,0.318,0.04,0.0108,0.0061,0.9432,0.9831,0.9939
google/bert_uncased_L-2_H-128_A-2-yelp-OLL1-1,34,0.0001,1024,0.619,0.6368,0.619,0.6259,0.3266,0.0425,0.0086,0.0032,0.9457,0.9882,0.9968
google/bert_uncased_L-2_H-128_A-2-yelp-OLL15-1,34,0.0001,1024,0.6117,0.6452,0.6117,0.6221,0.3366,0.0414,0.008,0.0024,0.9482,0.9896,0.9976
google/bert_uncased_L-2_H-128_A-2-yelp-OLL2-1,34,0.0001,1024,0.6034,0.6458,0.6034,0.6151,0.3459,0.0412,0.0077,0.0018,0.9493,0.9905,0.9982
google/bert_uncased_L-2_H-128_A-2-yelp-CORAL-1,34,0.0001,1024,0.5576,0.5185,0.5576,0.4679,0.3372,0.0853,0.0126,0.0073,0.8948,0.9801,0.9927
google/bert_uncased_L-2_H-128_A-2-yelp-WKL-1,34,0.0001,1024,0.5981,0.5989,0.5981,0.5982,0.3395,0.0509,0.0094,0.0022,0.9376,0.9884,0.9978
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT2-1,34,0.0001,1024,0.629,0.6343,0.629,0.6313,0.3136,0.0408,0.0103,0.0062,0.9426,0.9835,0.9938
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT3-1,34,0.0001,1024,0.6273,0.6381,0.6273,0.6316,0.3156,0.0404,0.0103,0.0064,0.9429,0.9833,0.9936
google/bert_uncased_L-2_H-128_A-2-yelp-SOFT4-1,34,0.0001,1024,0.626,0.6387,0.626,0.6308,0.3169,0.0402,0.0105,0.0064,0.9429,0.9831,0.9936
google/bert_uncased_L-2_H-128_A-2-yelp-EMD-1,34,0.0001,1024,0.6292,0.6367,0.6292,0.6324,0.3157,0.0402,0.0095,0.0054,0.9449,0.9852,0.9946
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-1,34,0.0001,1024,0.6134,0.64,0.6134,0.6225,0.3348,0.0401,0.0087,0.003,0.9482,0.9883,0.997
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-2,34,0.0001,1024,0.616,0.6401,0.616,0.6246,0.3318,0.04,0.009,0.003,0.9479,0.9879,0.997
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-3,34,0.0001,1024,0.6166,0.6397,0.6166,0.6247,0.3313,0.0403,0.0087,0.0031,0.9479,0.9881,0.9969
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-4,34,0.0001,1024,0.617,0.639,0.617,0.625,0.3314,0.0396,0.0087,0.0032,0.9485,0.9881,0.9968
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-5,34,0.0001,1024,0.6181,0.6372,0.6181,0.6252,0.3292,0.0407,0.0088,0.0032,0.9473,0.988,0.9968
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-1,34,1e-05,1024,0.5951,0.6249,0.5951,0.6055,0.3459,0.0466,0.0096,0.0027,0.941,0.9877,0.9973
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-2,34,1e-05,1024,0.5956,0.6221,0.5956,0.6051,0.3458,0.0457,0.0102,0.0027,0.9413,0.987,0.9973
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-3,34,1e-05,1024,0.5936,0.6185,0.5936,0.6027,0.3457,0.0479,0.0099,0.0029,0.9393,0.9872,0.9971
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-4,34,1e-05,1024,0.6,0.6233,0.6,0.6086,0.3408,0.0462,0.01,0.003,0.9408,0.987,0.997
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-5,34,1e-05,1024,0.5974,0.6257,0.5974,0.6072,0.345,0.0454,0.0094,0.0028,0.9424,0.9878,0.9972
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-1,34,7.5e-05,1024,0.6202,0.6424,0.6202,0.6279,0.329,0.0393,0.0084,0.0031,0.9492,0.9885,0.9969
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-2,34,7.5e-05,1024,0.6208,0.6426,0.6208,0.6283,0.3267,0.04,0.0088,0.0036,0.9475,0.9876,0.9964
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-3,34,7.5e-05,1024,0.6231,0.6414,0.6231,0.6296,0.3246,0.0399,0.0089,0.0035,0.9477,0.9876,0.9965
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-2,34,7.5e-05,1024,0.6208,0.6426,0.6208,0.6283,0.3267,0.04,0.0088,0.0036,0.9475,0.9876,0.9964
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-4,34,7.5e-05,1024,0.6166,0.6427,0.6166,0.6253,0.3326,0.039,0.0087,0.003,0.9492,0.9883,0.997
google/bert_uncased_L-2_H-128_A-2-yelp-BCE-5,34,7.5e-05,1024,0.6208,0.6415,0.6208,0.6279,0.3283,0.0393,0.0085,0.0031,0.9491,0.9884,0.9969
